City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,miracema do tocantins,-9.5618,-48.3967,23.66,42,0,1.14,BR,1722314444
323,launceston,-41.45,147.1667,12.41,62,100,2.57,AU,1722314192
324,melekeok village,7.4957,134.6367,32.31,66,75,4.63,PW,1722314446
325,maloye ganyushkino,46.6,49.2667,28.68,41,0,6.73,KZ,1722314447
326,albert,50.0009,2.651,19.29,77,0,2.57,FR,1722314448
327,batamshinskiy,50.5594,58.2747,25.03,39,72,8.44,KZ,1722314450
328,gunjur,13.2019,-16.7339,26.04,94,75,2.06,GM,1722314451
329,watford city,47.8022,-103.2832,22.92,64,40,5.66,US,1722314319
330,hermansverk,61.1846,6.8502,14.25,82,40,1.03,NO,1722314453
331,zhosaly,45.4878,64.0781,30.44,21,29,2.59,KZ,1722314454
332,banjarmasin,-3.3244,114.591,33.08,50,38,2.57,ID,1722314171
333,iquitos,-3.7481,-73.2472,24.02,94,0,0.0,PE,1722314457
334,guiglo,6.5456,-7.4966,20.73,98,100,1.21,CI,1722314458
335,butterworth,5.3991,100.3638,33.02,58,20,3.09,MY,1722314459
336,marijampole,54.5667,23.35,13.94,83,77,6.55,LT,1722314462
337,nova sintra,14.8667,-24.7167,25.07,76,59,6.42,CV,1722314463
338,tvoroyri,61.5556,-6.8111,10.26,90,81,10.17,FO,1722314465
339,afaahiti,-17.75,-149.2833,19.93,90,86,7.56,PF,1722314466
340,puebloviejo,10.9938,-74.2844,30.1,66,20,1.54,CO,1722314467
341,fuerte olimpo,-21.0415,-57.8738,17.43,81,100,2.97,PY,1722314468
342,pangoa,-12.1167,-73.0,19.32,98,56,1.66,PE,1722314469
343,laguna,38.421,-121.4238,23.16,62,0,4.12,US,1722314471
344,minas de marcona,-15.2119,-75.1103,10.75,86,9,2.0,PE,1722314472
345,alta,69.9689,23.2717,12.59,84,75,12.52,NO,1722314474
346,illizi,26.4833,8.4667,25.89,21,0,2.0,DZ,1722314476
347,lively,46.4334,-81.1498,22.51,88,71,1.46,CA,1722314477
348,qaisumah,28.3112,46.1273,32.98,14,0,5.14,SA,1722314479
349,inhapim,-19.5492,-42.12,12.33,63,0,1.55,BR,1722314480
350,prainha,-1.8,-53.48,25.07,71,100,1.21,BR,1722314481
351,baihe,22.15,107.2333,28.65,76,100,0.88,CN,1722314483
352,yarovoye,52.9273,78.58,26.76,38,35,3.05,RU,1722314485
353,fuyu,45.1833,124.8167,32.38,44,62,2.92,CN,1722314486
354,las tablas,7.7667,-80.2833,26.73,87,100,3.89,PA,1722314456
355,ayr,55.4627,-4.6339,13.99,88,100,2.06,GB,1722314489
356,antalaha,-14.9003,50.2788,22.6,65,9,2.75,MG,1722314490
357,tughyl,47.7252,84.2063,23.52,50,96,1.7,KZ,1722314491
358,carutapera,-1.195,-46.02,23.9,93,9,2.66,BR,1722314493
359,lorengau,-2.0226,147.2712,28.65,77,84,4.71,PG,1722314494
360,buala,-8.145,159.5921,25.91,86,99,3.82,SB,1722314495
361,kangal,39.2335,37.3911,17.06,56,0,2.02,TR,1722314496
362,broome,42.2506,-75.833,21.48,80,38,1.46,US,1722314497
